match_id,date,city,season,host_team,visiting_team,toss_winner,toss_decision,venue,result,dl_applied,winner,player_of_match
1,2008-04-18,Bangalore,2008,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,0,Kolkata Knight Riders,BB McCullum
2,2008-04-19,Chandigarh,2008,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",1,0,Chennai Super Kings,MEK Hussey
3,2008-04-19 00:00:00,Delhi,2008,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Feroz Shah Kotla,1,0,Delhi Daredevils,MF Maharoof
4,2008-04-20,Kolkata,2008,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Eden Gardens,1,0,Kolkata Knight Riders,DJ Hussey
5,2008-04-20,Mumbai,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Wankhede Stadium,1,0,Royal Challengers Bangalore,MV Boucher
6,2008-04-21,Jaipur,2008,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Sawai Mansingh Stadium,1,0,Rajasthan Royals,SR Watson
7,2008-04-22,Hyderabad,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",1,0,Delhi Daredevils,V Sehwag
8,2008-04-23,Chennai,2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",1,0,Chennai Super Kings,ML Hayden
9,2008-04-24,Hyderabad,2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",1,0,Rajasthan Royals,YK Pathan
10,2008-04-25,Chandigarh,2008,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",1,0,Kings XI Punjab,KC Sangakkara
11,2008-04-26,Chennai,2008,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",1,0,Chennai Super Kings,JDP Oram
12,2008-04-26,Bangalore,2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium,1,0,Rajasthan Royals,SR Watson
13,2008-04-27,Mumbai,2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Dr DY Patil Sports Academy,1,0,Deccan Chargers,AC Gilchrist
14,2008-04-27,Chandigarh,2008,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,bat,"Punjab Cricket Association Stadium, Mohali",1,0,Kings XI Punjab,SM Katich
15,2008-04-28,Bangalore,2008,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,M Chinnaswamy Stadium,1,0,Chennai Super Kings,MS Dhoni
16,2008-04-29,Kolkata,2008,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,1,0,Mumbai Indians,ST Jayasuriya
17,2008-04-30,Delhi,2008,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Feroz Shah Kotla,1,0,Delhi Daredevils,GD McGrath
18,2008-05-01,Jaipur,2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Sawai Mansingh Stadium,1,0,Rajasthan Royals,SA Asnodkar
19,2008-05-01,Hyderabad,2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,"Rajiv Gandhi International Stadium, Uppal",1,0,Kings XI Punjab,SE Marsh
20,2008-05-02,Chennai,2008,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1,0,Delhi Daredevils,V Sehwag
21,2008-05-03,Chandigarh,2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali",1,0,Kings XI Punjab,IK Pathan
22,2008-05-03,Bangalore,2008,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,M Chinnaswamy Stadium,1,0,Royal Challengers Bangalore,P Kumar
23,2008-05-04,Jaipur,2008,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Sawai Mansingh Stadium,1,0,Rajasthan Royals,Sohail Tanvir
24,2008-05-04,Mumbai,2008,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Dr DY Patil Sports Academy,1,0,Mumbai Indians,SM Pollock
25,2008-05-05,Bangalore,2008,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,M Chinnaswamy Stadium,1,0,Kings XI Punjab,S Sreesanth
26,2008-05-06,Chennai,2008,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,"MA Chidambaram Stadium, Chepauk",1,0,Deccan Chargers,AC Gilchrist
