player_code,player_id,full_name,country,role,batting_style,bowling_style,born
P Amarnath,290629,,India,,Right-hand bat,Right-arm medium,"
June 1, 1982 "
S Anirudha,26798,,India,Top-order batsman,Right-hand bat,,"
April 14, 1987, Madras (now Chennai), Tamil Nadu "
KB Arun Karthik,319745,,India,Batsman,Right-hand bat,Legbreak googly,"
February 15, 1986, Walajapet, Tamil Nadu "
R Ashwin,26421,,India,Bowling allrounder,Right-hand bat,Right-arm offbreak,"
September 17, 1986, Madras (now Chennai), Tamil Nadu "
KM Asif,1083030,,India,Bowler,Right-hand bat,Right-arm medium,"
July 24, 1993, Edavanna,Malappuram "
S Badree,51433,,West Indies,Bowler,Right-hand bat,Legbreak,"
March 9, 1981, Barrackpore, Trinidad "
S Badrinath,26806,,India,Middle-order batsman,Right-hand bat,Right-arm offbreak,"
August 30, 1980, Madras (now Chennai), Tamil Nadu "
GJ Bailey,4451,,Australia,Top-order batsman,Right-hand bat,Right-arm medium,"
September 7, 1982, Launceston, Tasmania "
L Balaji,26829,,India,Bowler,Right-hand bat,Right-arm medium-fast,"
September 27, 1981, Madras (now Chennai), Tamil Nadu "
SW Billings,297628,,England,Wicketkeeper batsman,Right-hand bat,,"
June 15, 1991, Pembury, Kent "
DE Bollinger,4508,,Australia,Bowler,Left-hand bat,Left-arm fast-medium,"
July 24, 1981, Baulkham Hills, Sydney, New South Wales "
DJ Bravo,51439,,West Indies,Allrounder,Right-hand bat,Right-arm medium,"
October 7, 1983, Santa Cruz, Trinidad "
DL Chahar,447261,,India,Bowler,Right-hand bat,Right-arm medium,"
August 7, 1992, Agra, Uttar Pradesh "
PP Chawla,32966,,India,Allrounder,Left-hand bat,Legbreak,"
December 24, 1988, Aligarh, Uttar Pradesh "
SM Curran,662973,,England,Allrounder,Left-hand bat,Left-arm medium-fast,"
June 3, 1998, Northampton "
MS Dhoni,28081,,India,Wicketkeeper batsman,Right-hand bat,Right-arm medium,"
July 7, 1981, Ranchi, Bihar (now Jharkhand) "
F du Plessis,44828,,South Africa,Middle-order batsman,Right-hand bat,Legbreak,"
July 13, 1984, Pretoria "
SP Fleming,37000,,New Zealand,Top-order batsman,Left-hand bat,,"
April 1, 1973, Christchurch, Canterbury "
A Flintoff,12856,,England,Allrounder,Right-hand bat,Right-arm fast-medium,"
December 6, 1977, Preston, Lancashire "
RD Gaikwad,1060380,,India,Batsman,Right-hand bat,Right-arm offbreak,"
January 31, 1997, Pune, Maharashtra "
C Ganapathy,28764,,India,,Right-hand bat,Right-arm medium,"
June 10, 1981 "
MS Gony,317293,,India,Bowler,Right-hand bat,Right-arm medium,"
January 4, 1984, Roopnagar, Punjab "
Harbhajan Singh,29264,,India,Bowler,Right-hand bat,Right-arm offbreak,"
July 3, 1980, Jullundur (now Jalandhar), Punjab "
JW Hastings,228622,,Australia,Allrounder,Right-hand bat,Right-arm fast-medium,"
November 4, 1985, Penrith, New South Wales "
ML Hayden,5616,,Australia,Opening batsman,Left-hand bat,Right-arm medium,"
October 29, 1971, Kingaroy, Queensland "
JR Hazlewood,288284,,Australia,Bowler,Left-hand bat,Right-arm fast-medium,"
January 8, 1991, Tamworth, New South Wales "
BW Hilfenhaus,5941,,Australia,Bowler,Right-hand bat,Right-arm fast-medium,"
March 15, 1983, Ulverstone, Tasmania "
JO Holder,391485,,West Indies,Bowling allrounder,Right-hand bat,Right-arm medium-fast,"
November 5, 1991, Barbados "
DJ Hussey,5766,,Australia,Allrounder,Right-hand bat,Right-arm offbreak,"
July 15, 1977, Mt Lawley, Perth, Western Australia "
MEK Hussey,5939,,Australia,Middle-order batsman,Left-hand bat,Right-arm medium,"
May 27, 1975, Mt Lawley, Perth, Western Australia "
Imran Tahir,40618,,South Africa,Bowler,Right-hand bat,Legbreak googly,"
March 27, 1979, Lahore, Punjab "
RA Jadeja,234675,,India,Allrounder,Left-hand bat,Slow left-arm orthodox,"
December 6, 1988, Navagam-Khed, Saurashtra "
KM Jadhav,290716,,India,Batting allrounder,Right-hand bat,Right-arm offbreak,"
March 26, 1985, Pune, Maharashtra "
SB Jakati,29655,,India,Bowler,Left-hand bat,Slow left-arm orthodox,"
November 27, 1980, Vasco da Gama, Goa "
Joginder Sharma,29976,,India,Allrounder,Right-hand bat,Right-arm fast-medium,"
October 23, 1983, Rohtak "
