city,dates,host_team,match_id,player_of_match,result,season,toss_decision,toss_winner,venue,visiting_team,winner
Bangalore,2008-04-18,Royal Challengers Bangalore,1.0,BB McCullum,1,2008,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kolkata Knight Riders,Kolkata Knight Riders
Chandigarh,2008-04-19,Kings XI Punjab,2.0,MEK Hussey,1,2008,bat,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Chennai Super Kings
Delhi,2008-04-19 00:00:00,Delhi Daredevils,3.0,MF Maharoof,1,2008,bat,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils
Kolkata,2008-04-20,Kolkata Knight Riders,4.0,DJ Hussey,1,2008,bat,Deccan Chargers,Eden Gardens,Deccan Chargers,Kolkata Knight Riders
Mumbai,2008-04-20,Mumbai Indians,5.0,MV Boucher,1,2008,bat,Mumbai Indians,Wankhede Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore
Jaipur,2008-04-21,Rajasthan Royals,6.0,SR Watson,1,2008,bat,Kings XI Punjab,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals
Hyderabad,2008-04-22,Deccan Chargers,7.0,V Sehwag,1,2008,bat,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,Delhi Daredevils
Chennai,2008-04-23,Chennai Super Kings,8.0,ML Hayden,1,2008,field,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Chennai Super Kings
Hyderabad,2008-04-24,Deccan Chargers,9.0,YK Pathan,1,2008,field,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Rajasthan Royals
Chandigarh,2008-04-25,Kings XI Punjab,10.0,KC Sangakkara,1,2008,field,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Kings XI Punjab
Chennai,2008-04-26,Chennai Super Kings,11.0,JDP Oram,1,2008,bat,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Chennai Super Kings
Bangalore,2008-04-26,Royal Challengers Bangalore,12.0,SR Watson,1,2008,field,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals,Rajasthan Royals
Mumbai,2008-04-27,Mumbai Indians,13.0,AC Gilchrist,1,2008,field,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,Deccan Chargers
Chandigarh,2008-04-27,Kings XI Punjab,14.0,SM Katich,1,2008,bat,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,Kings XI Punjab
Bangalore,2008-04-28,Royal Challengers Bangalore,15.0,MS Dhoni,1,2008,bat,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,Chennai Super Kings
Kolkata,2008-04-29,Kolkata Knight Riders,16.0,ST Jayasuriya,1,2008,bat,Kolkata Knight Riders,Eden Gardens,Mumbai Indians,Mumbai Indians
Delhi,2008-04-30,Delhi Daredevils,17.0,GD McGrath,1,2008,field,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,Delhi Daredevils
Jaipur,2008-05-01,Rajasthan Royals,18.0,SA Asnodkar,1,2008,bat,Rajasthan Royals,Sawai Mansingh Stadium,Kolkata Knight Riders,Rajasthan Royals
Hyderabad,2008-05-01,Deccan Chargers,19.0,SE Marsh,1,2008,field,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,Kings XI Punjab
Chennai,2008-05-02,Chennai Super Kings,20.0,V Sehwag,1,2008,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,Delhi Daredevils
Chandigarh,2008-05-03,Kings XI Punjab,21.0,IK Pathan,1,2008,bat,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Kings XI Punjab
Bangalore,2008-05-03,Royal Challengers Bangalore,22.0,P Kumar,1,2008,field,Deccan Chargers,M Chinnaswamy Stadium,Deccan Chargers,Royal Challengers Bangalore
Jaipur,2008-05-04,Rajasthan Royals,23.0,Sohail Tanvir,1,2008,bat,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals
